"THCIC_ID","fold","Sensitivity","Specificity","Pos.Pred.Value","Neg.Pred.Value","Precision","Recall","F1","Prevalence","Detection.Rate","Detection.Prevalence","Balanced.Accuracy","model"
"35000",1,0.693333333333333,0.911492734478203,0.608187134502924,0.9375,0.608187134502924,0.693333333333333,0.64797507788162,0.165380374862183,0.114663726571114,0.188533627342889,0.802413033905768,"RF"
"497000",1,0.8,0.862880886426593,0.59919028340081,0.943939393939394,0.59919028340081,0.8,0.685185185185185,0.203969128996692,0.163175303197354,0.272326350606395,0.831440443213296,"RF"
"602000",1,0.62655601659751,0.953453453453453,0.82967032967033,0.875862068965517,0.82967032967033,0.62655601659751,0.713947990543735,0.265711135611907,0.166482910694598,0.200661521499449,0.790004735025482,"RF"
"797600",1,0.576271186440678,0.939858490566038,0.4,0.969586374695864,0.4,0.576271186440678,0.472222222222222,0.0650496141124587,0.0374862183020948,0.0937155457552371,0.758064838503358,"RF"
"829900",1,0.614285714285714,0.959827833572453,0.821656050955414,0.892,0.821656050955414,0.614285714285714,0.70299727520436,0.231532524807056,0.142227122381477,0.173098125689085,0.787056773929084,"RF"
"852000",1,0.967741935483871,0.994082840236686,0.923076923076923,0.997624703087886,0.923076923076923,0.967741935483871,0.94488188976378,0.0683572216097023,0.0661521499448732,0.071664829106946,0.980912387860279,"RF"
"35000",1,0.193333333333333,0.919418758256275,0.322222222222222,0.851897184822521,0.322222222222222,0.193333333333333,0.241666666666667,0.165380374862183,0.0319735391400221,0.0992282249173098,0.556376045794804,"MN"
"497000",1,0.681081081081081,0.768698060941828,0.430034129692833,0.903908794788274,0.430034129692833,0.681081081081081,0.527196652719665,0.203969128996692,0.138919514884234,0.323042998897464,0.724889571011455,"MN"
"602000",1,0.556016597510373,0.743243243243243,0.439344262295082,0.822259136212625,0.439344262295082,0.556016597510373,0.490842490842491,0.265711135611907,0.14773980154355,0.336273428886439,0.649629920376808,"MN"
"797600",1,0.0169491525423729,0.996462264150943,0.250000000000001,0.935769656699889,0.25,0.0169491525423729,0.0317460317460317,0.0650496141124587,0.00110253583241455,0.00441014332965821,0.506705708346658,"MN"
"829900",1,0.352380952380952,0.880918220946915,0.471337579617834,0.818666666666667,0.471337579617834,0.352380952380952,0.403269754768392,0.231532524807056,0.081587651598677,0.173098125689085,0.616649586663934,"MN"
