"THCIC_ID","fold","Sensitivity","Specificity","Pos.Pred.Value","Neg.Pred.Value","Precision","Recall","F1","Prevalence","Detection.Rate","Detection.Prevalence","Balanced.Accuracy","model"
"35000",1,0.533333333333333,0.973579920739762,0.8,0.913258983890954,0.8,0.533333333333333,0.64,0.165380374862183,0.0882028665931643,0.110253583241455,0.753456627036548,"RF"
"497000",1,0.827027027027027,0.853185595567867,0.590733590733591,0.950617283950617,0.590733590733591,0.827027027027027,0.689189189189189,0.203969128996692,0.168687982359427,0.285556780595369,0.840106311297447,"RF"
"602000",1,0.825726141078838,0.891891891891892,0.734317343173432,0.933962264150943,0.734317343173432,0.825726141078838,0.77734375,0.265711135611907,0.219404630650496,0.298787210584344,0.858809016485365,"RF"
"797600",1,0.23728813559322,0.996462264150943,0.823529411764706,0.949438202247191,0.823529411764706,0.23728813559322,0.368421052631579,0.0650496141124587,0.0154355016538037,0.0187431091510474,0.616875199872082,"RF"
"829900",1,0.738095238095238,0.934002869440459,0.771144278606965,0.922096317280453,0.771144278606965,0.738095238095238,0.754257907542579,0.231532524807056,0.170893054024256,0.221609702315325,0.836049053767849,"RF"
"852000",1,0.919354838709677,0.997633136094675,0.966101694915254,0.994103773584906,0.966101694915254,0.919354838709677,0.942148760330578,0.0683572216097023,0.0628445424476295,0.0650496141124587,0.958493987402176,"RF"
"35000",1,0.193333333333333,0.919418758256275,0.322222222222222,0.851897184822521,0.322222222222222,0.193333333333333,0.241666666666667,0.165380374862183,0.0319735391400221,0.0992282249173098,0.556376045794804,"MN"
"497000",1,0.681081081081081,0.768698060941828,0.430034129692833,0.903908794788274,0.430034129692833,0.681081081081081,0.527196652719665,0.203969128996692,0.138919514884234,0.323042998897464,0.724889571011455,"MN"
"602000",1,0.556016597510373,0.743243243243243,0.439344262295082,0.822259136212625,0.439344262295082,0.556016597510373,0.490842490842491,0.265711135611907,0.14773980154355,0.336273428886439,0.649629920376808,"MN"
"797600",1,0.0169491525423729,0.996462264150943,0.250000000000001,0.935769656699889,0.25,0.0169491525423729,0.0317460317460317,0.0650496141124587,0.00110253583241455,0.00441014332965821,0.506705708346658,"MN"
"829900",1,0.352380952380952,0.880918220946915,0.471337579617834,0.818666666666667,0.471337579617834,0.352380952380952,0.403269754768392,0.231532524807056,0.081587651598677,0.173098125689085,0.616649586663934,"MN"
"852000",1,0.887096774193548,0.996449704142012,0.948275862068966,0.991755005889282,0.948275862068966,0.887096774193548,0.916666666666667,0.0683572216097023,0.0606394707828004,0.0639470782800441,0.94177323916778,"MN"
"35000",2,0.56953642384106,0.976221928665786,0.826923076923077,0.919154228855721,0.826923076923077,0.56953642384106,0.674509803921569,0.166299559471366,0.0947136563876652,0.114537444933921,0.772879176253423,"RF"
"497000",2,0.860215053763441,0.883656509695291,0.655737704918033,0.960843373493976,0.655737704918033,0.860215053763441,0.744186046511628,0.204845814977974,0.176211453744493,0.268722466960352,0.871935781729366,"RF"
"602000",2,0.854771784232365,0.869565217391304,0.703071672354949,0.943089430894309,0.703071672354949,0.854771784232365,0.771535580524345,0.265418502202643,0.226872246696035,0.322687224669604,0.862168500811835,"RF"
"797600",2,0.338983050847458,0.996466431095406,0.869565217391304,0.95593220338983,0.869565217391304,0.338983050847458,0.48780487804878,0.0649779735682819,0.0220264317180617,0.0253303964757709,0.667724740971432,"RF"
"829900",2,0.76555023923445,0.971387696709585,0.888888888888889,0.932692307692308,0.888888888888889,0.76555023923445,0.822622107969152,0.230176211453745,0.176211453744493,0.198237885462555,0.868468967972017,"RF"
"852000",2,1,0.997635933806147,0.96875,1,0.96875,1,0.984126984126984,0.0682819383259912,0.0682819383259912,0.0704845814977974,0.998817966903073,"RF"
"35000",2,0.298013245033113,0.932628797886394,0.46875,0.869458128078818,0.46875,0.298013245033113,0.364372469635628,0.166299559471366,0.0495594713656388,0.105726872246696,0.615321021459753,"MN"
"497000",2,0.655913978494624,0.775623268698061,0.429577464788732,0.897435897435897,0.429577464788732,0.655913978494624,0.519148936170213,0.204845814977974,0.134361233480176,0.312775330396476,0.715768623596342,"MN"
"602000",2,0.630705394190871,0.71664167916042,0.44574780058651,0.843033509700176,0.44574780058651,0.630705394190871,0.52233676975945,0.265418502202643,0.167400881057269,0.375550660792952,0.673673536675646,"MN"
"797600",2,0.0169491525423729,0.997644287396938,0.333333333333332,0.935911602209945,0.333333333333333,0.0169491525423729,0.032258064516129,0.0649779735682819,0.00110132158590308,0.00330396475770925,0.507296719969655,"MN"
"829900",2,0.267942583732057,0.909871244635193,0.470588235294118,0.806083650190114,0.470588235294118,0.267942583732057,0.341463414634146,0.230176211453745,0.0616740088105727,0.131057268722467,0.588906914183625,"MN"
"852000",2,1,0.99645390070922,0.953846153846154,1,0.953846153846154,1,0.976377952755905,0.0682819383259912,0.0682819383259912,0.0715859030837004,0.99822695035461,"MN"
"35000",3,0.549668874172185,0.973614775725594,0.805825242718446,0.915632754342432,0.805825242718447,0.549668874172185,0.653543307086614,0.166116611661166,0.0913091309130913,0.113311331133113,0.76164182494889,"RF"
"497000",3,0.801075268817204,0.892116182572614,0.656387665198238,0.94574780058651,0.656387665198238,0.801075268817204,0.721549636803874,0.204620462046205,0.163916391639164,0.24972497249725,0.846595725694909,"RF"
"602000",3,0.842323651452282,0.842814371257485,0.659090909090909,0.936772046589018,0.659090909090909,0.842323651452282,0.739526411657559,0.265126512651265,0.223322332233223,0.338833883388339,0.842569011354884,"RF"
