"THCIC_ID","fold","Sensitivity","Specificity","Pos.Pred.Value","Neg.Pred.Value","Precision","Recall","F1","Prevalence","Detection.Rate","Detection.Prevalence","Balanced.Accuracy","model"
"35000",1,0.611111111111111,0.904761904761905,0.354838709677419,0.964467005076142,0.354838709677419,0.611111111111111,0.448979591836735,0.0789473684210526,0.0482456140350877,0.135964912280702,0.757936507936508,"RF"
"497000",1,0.8,0.898989898989899,0.545454545454545,0.967391304347826,0.545454545454545,0.8,0.648648648648649,0.131578947368421,0.105263157894737,0.192982456140351,0.84949494949495,"RF"
"602000",1,0.545454545454545,0.942196531791908,0.75,0.867021276595745,0.75,0.545454545454545,0.631578947368421,0.241228070175439,0.131578947368421,0.175438596491228,0.743825538623226,"RF"
"797600",1,0.5,0.976415094339623,0.615384615384615,0.962790697674419,0.615384615384615,0.5,0.551724137931034,0.0701754385964912,0.0350877192982456,0.0570175438596491,0.738207547169811,"RF"
"829900",1,0.530612244897959,0.94413407821229,0.722222222222222,0.880208333333333,0.722222222222222,0.530612244897959,0.611764705882353,0.214912280701754,0.114035087719298,0.157894736842105,0.737373161555125,"RF"
"852000",1,0.966666666666667,0.964285714285714,0.90625,0.98780487804878,0.90625,0.966666666666667,0.935483870967742,0.263157894736842,0.254385964912281,0.280701754385965,0.96547619047619,"RF"
"35000",1,0.333333333333333,0.957142857142857,0.4,0.943661971830986,0.4,0.333333333333333,0.363636363636364,0.0789473684210526,0.0263157894736842,0.0657894736842105,0.645238095238095,"MN"
"497000",1,0.6,0.914141414141414,0.514285714285714,0.937823834196891,0.514285714285714,0.6,0.553846153846154,0.131578947368421,0.0789473684210526,0.153508771929825,0.757070707070707,"MN"
"602000",1,0.654545454545455,0.722543352601156,0.428571428571429,0.868055555555555,0.428571428571429,0.654545454545455,0.517985611510791,0.241228070175439,0.157894736842105,0.368421052631579,0.688544403573305,"MN"
"797600",1,0.125,0.985849056603774,0.399999999999999,0.937219730941704,0.4,0.125,0.19047619047619,0.0701754385964912,0.0087719298245614,0.0219298245614035,0.555424528301887,"MN"
"829900",1,0.36734693877551,0.916201117318436,0.545454545454546,0.841025641025641,0.545454545454545,0.36734693877551,0.439024390243902,0.214912280701754,0.0789473684210526,0.144736842105263,0.641774028046973,"MN"
"852000",1,0.9,0.988095238095238,0.964285714285714,0.965116279069767,0.964285714285714,0.9,0.931034482758621,0.263157894736842,0.236842105263158,0.245614035087719,0.944047619047619,"MN"
"35000",2,0.611111111111111,0.895238095238095,0.333333333333333,0.964102564102564,0.333333333333333,0.611111111111111,0.431372549019608,0.0789473684210526,0.0482456140350877,0.144736842105263,0.753174603174603,"RF"
"497000",2,0.612903225806452,0.928934010152284,0.575757575757576,0.938461538461538,0.575757575757576,0.612903225806452,0.59375,0.135964912280702,0.0833333333333333,0.144736842105263,0.770918617979368,"RF"
"602000",2,0.537037037037037,0.902298850574713,0.630434782608696,0.862637362637363,0.630434782608696,0.537037037037037,0.58,0.236842105263158,0.12719298245614,0.201754385964912,0.719667943805875,"RF"
"797600",2,0.75,0.966981132075472,0.631578947368421,0.980861244019139,0.631578947368421,0.75,0.685714285714286,0.0701754385964912,0.0526315789473684,0.0833333333333333,0.858490566037736,"RF"
"829900",2,0.673469387755102,0.932960893854749,0.733333333333333,0.912568306010929,0.733333333333333,0.673469387755102,0.702127659574468,0.214912280701754,0.144736842105263,0.197368421052632,0.803215140804925,"RF"
"852000",2,0.866666666666667,1,1,0.954545454545455,1,0.866666666666667,0.928571428571429,0.263157894736842,0.228070175438596,0.228070175438596,0.933333333333333,"RF"
"35000",2,0.277777777777778,0.976190476190476,0.5,0.940366972477064,0.5,0.277777777777778,0.357142857142857,0.0789473684210526,0.0219298245614035,0.043859649122807,0.626984126984127,"MN"
"497000",2,0.516129032258065,0.918781725888325,0.5,0.923469387755102,0.5,0.516129032258065,0.507936507936508,0.135964912280702,0.0701754385964912,0.140350877192982,0.717455379073195,"MN"
"602000",2,0.740740740740741,0.706896551724138,0.439560439560439,0.897810218978102,0.43956043956044,0.740740740740741,0.551724137931034,0.236842105263158,0.175438596491228,0.399122807017544,0.723818646232439,"MN"
"797600",2,0.125,0.976415094339623,0.285714285714285,0.936651583710407,0.285714285714286,0.125,0.173913043478261,0.0701754385964912,0.0087719298245614,0.0307017543859649,0.550707547169811,"MN"
"829900",2,0.346938775510204,0.905027932960894,0.5,0.835051546391753,0.5,0.346938775510204,0.409638554216868,0.214912280701754,0.0745614035087719,0.149122807017544,0.625983354235549,"MN"
"852000",2,0.866666666666667,0.988095238095238,0.962962962962963,0.954022988505747,0.962962962962963,0.866666666666667,0.912280701754386,0.263157894736842,0.228070175438596,0.236842105263158,0.927380952380952,"MN"
"35000",3,0.666666666666667,0.919047619047619,0.413793103448276,0.969849246231156,0.413793103448276,0.666666666666667,0.51063829787234,0.0789473684210526,0.0526315789473684,0.12719298245614,0.792857142857143,"RF"
"497000",3,0.7,0.914141414141414,0.552631578947368,0.952631578947368,0.552631578947368,0.7,0.61764705882353,0.131578947368421,0.0921052631578947,0.166666666666667,0.807070707070707,"RF"
"602000",3,0.611111111111111,0.936781609195402,0.75,0.885869565217391,0.75,0.611111111111111,0.673469387755102,0.236842105263158,0.144736842105263,0.192982456140351,0.773946360153257,"RF"
