"THCIC_ID","fold","Sensitivity","Specificity","Pos.Pred.Value","Neg.Pred.Value","Precision","Recall","F1","Prevalence","Detection.Rate","Detection.Prevalence","Balanced.Accuracy","model"
"35000",1,0.648809523809524,0.925619834710744,0.602209944751381,0.938219895287958,0.602209944751381,0.648809523809524,0.624641833810888,0.147887323943662,0.0959507042253521,0.159330985915493,0.787214679260134,"RF"
"497000",1,0.717592592592593,0.890217391304348,0.60546875,0.930681818181818,0.60546875,0.717592592592593,0.656779661016949,0.190140845070423,0.136443661971831,0.225352112676056,0.80390499194847,"RF"
"602000",1,0.698305084745763,0.935790725326992,0.792307692307692,0.898401826484018,0.792307692307692,0.698305084745763,0.742342342342342,0.259683098591549,0.181338028169014,0.22887323943662,0.817047905036377,"RF"
"797600",1,0.723684210526316,0.944339622641509,0.482456140350877,0.979452054794521,0.482456140350877,0.723684210526316,0.578947368421053,0.0669014084507042,0.0484154929577465,0.100352112676056,0.834011916583913,"RF"
"829900",1,0.675675675675676,0.96921322690992,0.866336633663366,0.910064239828694,0.866336633663366,0.675675675675676,0.759219088937093,0.227992957746479,0.154049295774648,0.177816901408451,0.822444451292798,"RF"
"852000",1,0.950819672131147,0.993096646942801,0.943089430894309,0.994076999012833,0.943089430894309,0.950819672131147,0.946938775510204,0.107394366197183,0.102112676056338,0.108274647887324,0.971958159536974,"RF"
"35000",1,0.267857142857143,0.918388429752066,0.362903225806452,0.878458498023715,0.362903225806452,0.267857142857143,0.308219178082192,0.147887323943662,0.039612676056338,0.109154929577465,0.593122786304604,"MN"
"497000",1,0.476851851851852,0.866304347826087,0.455752212389381,0.875824175824176,0.455752212389381,0.476851851851852,0.46606334841629,0.190140845070423,0.090669014084507,0.198943661971831,0.671578099838969,"MN"
"602000",1,0.644067796610169,0.607609988109394,0.365384615384615,0.829545454545455,0.365384615384615,0.644067796610169,0.466257668711656,0.259683098591549,0.167253521126761,0.457746478873239,0.625838892359782,"MN"
"797600",1,0,0.999056603773585,0,0.933039647577092,0,0,NA,0.0669014084507042,0,0.000880281690140845,0.499528301886792,"MN"
"829900",1,0.262548262548263,0.90193842645382,0.441558441558441,0.805498981670061,0.441558441558442,0.262548262548263,0.329297820823245,0.227992957746479,0.0598591549295775,0.13556338028169,0.582243344501041,"MN"
"852000",1,0.885245901639344,0.997041420118343,0.972972972972973,0.986341463414634,0.972972972972973,0.885245901639344,0.927038626609442,0.107394366197183,0.0950704225352113,0.0977112676056338,0.941143660878844,"MN"
"35000",2,0.732142857142857,0.924508790072389,0.627551020408163,0.952076677316294,0.627551020408163,0.732142857142857,0.675824175824176,0.148017621145374,0.108370044052863,0.172687224669604,0.828325823607623,"RF"
